ma_shop_n, metroarian, ma_ptrans, ucl_code, ma_edu, ucl_name, metroariac, ma_shop, ma_edu_n, ma_hlth_n, ma_hlth, ma_ptransn, ma_fpost_n, ma_fpost, sa1no
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110811"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110812"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20601110813"
"High Accessibility","High Accessibility",3,201001,1,"Melbourne",2,2,"Very High Accessibility","Very High Accessibility",1,"Moderate Accessibility","High Accessibility",2,"20601110814"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20601110815"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20601110816"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20601110817"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110818"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110819"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110820"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20601110821"
"High Accessibility","High Accessibility",3,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"Moderate Accessibility","Very High Accessibility",1,"20601110822"
"Very High Accessibility","High Accessibility",1,201001,2,"Melbourne",2,1,"High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20601110823"
"High Accessibility","High Accessibility",2,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","High Accessibility",2,"20601110824"
"High Accessibility","Very High Accessibility",2,201001,2,"Melbourne",1,2,"High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110825"
"High Accessibility","High Accessibility",4,201001,2,"Melbourne",2,2,"High Accessibility","Very High Accessibility",1,"Low Accessibility","High Accessibility",2,"20601110826"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20601110827"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","High Accessibility",2,"20601110828"
"High Accessibility","High Accessibility",2,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20601110829"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20601110830"
"High Accessibility","High Accessibility",3,201001,1,"Melbourne",2,2,"Very High Accessibility","High Accessibility",2,"Moderate Accessibility","High Accessibility",2,"20601110831"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110832"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110833"
