Uni, Yr_12, emppoprati, NAME_2006, Cert, median06, SSC2006
0.23427,0.427041,0.684211,"Somers",0.338688,40385.01231,21611
0.0,0.0,0.0,"Somerton",0.0,0.0,21613
0.110683,0.536285,0.760531,"Somerville",0.353032,38604.96842,21615
0.235139,0.463672,0.584433,"Sorrento",0.301189,36770.20145,21617
0.249507,0.519724,0.694362,"South Kingsville",0.230769,43020.87992,21619
0.421988,0.399648,0.690832,"South Melbourne",0.178364,57554.64691,21621
0.128509,0.556725,0.768084,"South Morang",0.314766,40229.29337,21623
0.474914,0.366111,0.713615,"South Yarra",0.158975,59336.12128,21625
0.459327,0.371844,0.704087,"Southbank",0.168829,62749.82269,21627
0.227307,0.512378,0.728432,"Spotswood",0.260315,43702.95944,21629
0.130529,0.708899,0.546292,"Springvale",0.160572,24528.9329,21631
0.097746,0.723948,0.601042,"Springvale South",0.178307,27181.31946,21633
0.094183,0.724798,0.489785,"St Albans",0.181019,22338.4118,21635
0.381494,0.433022,0.674745,"St Kilda",0.185485,51779.23003,21637
0.404929,0.399629,0.717578,"St Kilda East",0.195442,48808.27931,21639
0.42354,0.402586,0.719556,"St Kilda West",0.173874,60360.94472,21641
0.322564,0.405014,0.786953,"Strathmore",0.272422,47686.60504,21643
0.202147,0.479428,0.720641,"Strathmore Heights",0.318426,43371.06517,21645
0.183283,0.614056,0.592904,"Sunshine",0.202662,29835.38843,21647
0.106582,0.72644,0.548104,"Sunshine North",0.166978,24378.67024,21649
0.09558,0.730849,0.527887,"Sunshine West",0.173571,24855.0607,21651
0.509463,0.279778,0.777272,"Surrey Hills",0.210759,57013.38936,21653
0.149875,0.578694,0.692989,"Sydenham",0.271431,37011.32201,21655
0.166797,0.524967,0.759874,"Tarneit",0.308235,43342.62172,21657
0.164259,0.564205,0.738979,"Taylors Hill",0.271536,40578.96285,21659
0.163344,0.566445,0.744825,"Taylors Lakes",0.27021,38543.10141,21661
0.242594,0.413131,0.757235,"Tecoma",0.344275,42981.13558,21663
0.338419,0.41791,0.73011,"Templestowe",0.243671,44796.91999,21665
0.319588,0.424112,0.725136,"Templestowe Lower",0.2563,40922.35302,21667
0.146762,0.490749,0.787127,"The Basin",0.362489,40368.65098,21669
0.283058,0.39876,0.72541,"The Patch",0.318182,38792.09736,21671
0.088564,0.720918,0.548214,"Thomastown",0.190519,24542.93281,21673
0.360116,0.439066,0.693804,"Thornbury",0.200818,38066.3773,21675
0.476224,0.344088,0.711198,"Toorak",0.179689,64624.23576,21677
0.081034,0.612069,0.542096,"Tootgarook",0.306897,26018.99851,21679
0.0,0.0,0.0,"Tottenham",0.0,42086.59123,21681
0.445507,0.370937,0.711281,"Travancore",0.183556,49668.55542,21683
0.0,0.0,0.0,"Tremont",0.0,0.0,21685
0.195911,0.505111,0.771331,"Truganina",0.298978,43591.83412,21687
0.103368,0.62228,0.673834,"Tullamarine",0.274352,34374.66499,21689
0.110299,0.524252,0.746835,"Tyabb",0.365449,37533.41871,21691
0.18839,0.470427,0.782941,"Upper Ferntree Gully",0.341183,38812.83103,21693
0.208268,0.443128,0.771925,"Upwey",0.348605,40330.47453,21695
0.286691,0.436969,0.737163,"Vermont",0.27634,42563.58898,21697
0.307393,0.432685,0.756656,"Vermont South",0.259922,42650.58097,21699
0.319269,0.42623,0.743879,"Viewbank",0.254501,43442.40323,21701
0.1341,0.551724,0.738636,"Wandin East",0.314176,33771.91622,21703
0.101904,0.552072,0.689189,"Wandin North",0.346025,35211.29262,21705
0.219474,0.486862,0.771035,"Wantirna",0.293663,40523.50864,21707
0.2533,0.474509,0.762109,"Wantirna South",0.272191,41095.79844,21709
0.336641,0.364281,0.765664,"Warrandyte",0.299079,49148.9258,21711
0.260425,0.407604,0.805805,"Warranwood",0.331971,48714.32737,21715
0.278008,0.452282,0.798768,"Waterways",0.26971,48107.5628,21717
0.188679,0.501179,0.721131,"Watsonia",0.310142,39259.06315,21719
0.195982,0.521429,0.737595,"Watsonia North",0.282589,39752.72929,21721
0.202957,0.452957,0.826146,"Wattle Glen",0.344086,42334.87872,21723
0.113996,0.598828,0.6829,"Werribee",0.287176,36024.77183,21725
0.250392,0.540512,0.644762,"West Footscray",0.209096,33076.949,21727
0.379634,0.47306,0.602665,"West Melbourne",0.147306,51180.12045,21729
0.093894,0.641301,0.667689,"Westmeadows",0.264805,33844.95715,21731
0.317336,0.434259,0.731979,"Wheelers Hill",0.248405,43511.50794,21733
0.39013,0.365316,0.765103,"Williamstown",0.244555,53689.33882,21735
0.254088,0.491824,0.701511,"Williamstown North",0.254088,44583.09164,21737
0.384819,0.422051,0.711913,"Windsor",0.19313,51129.58301,21739
0.205508,0.456568,0.79799,"Wonga Park",0.337924,49725.13725,21741
