fieldsurfacetype, streetno, sportsplayed, facilityname, numberfieldcourts, facilitycondition, facilityupgradeage, postcode, facility_id, facilityage, streettype, changerooms, longitude, latitude, objectid, faciltysportplayedid, suburbtown, lga, streetname
null,"266","Gymnastics","Hamilton and District Gym Club",null,null,null,3300,"SOUTHE11473",null,"Road",null,142.015594000208,-37.7205089989123,7678,27364,"HAMILTON","SOUTHERN GRAMPIANS","Mt Baimbridge"
"Grass",null,"Hockey","Coleraine (Silvester Oval) Recreation Reserve",2,"2. Poor","1 - 5 Years",3315,"SOUTHE11392","26 - 50 Years","Street",null,141.69080900032,-37.595063999533,7679,18439,"COLERAINE","SOUTHERN GRAMPIANS","Winter"
"Artificial Turf",null,"Hockey","Pedrina Park",1,"3. Average","6 - 10 Years",3300,"SOUTHE11417","11 - 25 Years","Road","Unisex",142.029268000348,-37.725571999042,7680,18489,"HAMILTON","SOUTHERN GRAMPIANS","North Boundary"
"Grass",null,"Lawn Bowls","Balmoral Bowls Club",1,"3. Average","11 + Years",3407,"SOUTHE11384","26 - 50 Years","Street","Female, Male",141.841696000071,-37.2484959987139,7681,18422,"BALMORAL","SOUTHERN GRAMPIANS","Stirling"
"Grass",null,"Lawn Bowls","Branxholme Bowls Club",1,"3. Average","6 - 10 Years",3302,"SOUTHE11388","26 - 50 Years","Street",null,141.796978000273,-37.8576189990901,7682,18428,"BRANXHOLME","SOUTHERN GRAMPIANS","Best"
"Grass",null,"Lawn Bowls","Coleraine (Silvester Oval) Recreation Reserve",2,"4. Good","11 + Years",3315,"SOUTHE11392","11 - 25 Years","Street",null,141.69080900032,-37.595063999533,7683,18440,"COLERAINE","SOUTHERN GRAMPIANS","Winter"
"Artificial Turf",null,"Lawn Bowls","Dunkeld Bowling Club",1,null,null,3294,"SOUTHE4907",null,"Street",null,142.343372999429,-37.6506229993183,7684,26995,"DUNKELD","SOUTHERN GRAMPIANS","Willis"
"Grass",null,"Lawn Bowls","Grangeburn Bowls Club",2,"3. Average","6 - 10 Years",3300,"SOUTHE11402","26 - 50 Years","Road","Unisex",142.031707000107,-37.7337269989315,7685,18456,"HAMILTON","SOUTHERN GRAMPIANS","McArthur"
"Grass",null,"Lawn Bowls","Hamilton Bowls Club",3,"3. Average","6 - 10 Years",3300,"SOUTHE11403","26 - 50 Years","Street",null,142.020641999988,-37.7437749990385,7686,18457,"HAMILTON","SOUTHERN GRAMPIANS","Kennedy"
"Grass",null,"Lawn Bowls","Penshurst Reserve",1,"3. Average","6 - 10 Years",3289,"SOUTHE11419","26 - 50 Years","Street",null,142.291376000186,-37.8726269995153,7687,18494,"PENSHURST","SOUTHERN GRAMPIANS","Cox"
"Asphalt",null,"Netball","Branxholme Recreation Reserve",null,"5. Very Good","11 + Years",3302,"SOUTHE11389","0 - 5 Years","Hwy","Female, Male, Umpire/Officials",141.801987999702,-37.8586609989601,7688,18431,"BRANXHOLME","SOUTHERN GRAMPIANS","Henty"
"Synthetic",null,"Netball","Cavendish Recreation Reserve",null,"1. Very Poor","1 - 5 Years",3314,"SOUTHE11391","26 - 50 Years","Hwy","Male, Umpire/Officials",142.044051999745,-37.5215479993025,7689,18435,"CAVENDISH","SOUTHERN GRAMPIANS","Henty"
"Asphalt",null,"Netball","Coleraine (Silvester Oval) Recreation Reserve",2,"5. Very Good","11 + Years",3315,"SOUTHE11392","0 - 5 Years","Street","Female, Umpire/Officials",141.69080900032,-37.595063999533,7690,18441,"COLERAINE","SOUTHERN GRAMPIANS","Winter"
"Asphalt",null,"Netball","Coleraine Tennis/Netball Club",4,"3. Average","6 - 10 Years",3315,"SOUTHE11395","26 - 50 Years","Street",null,141.69522900046,-37.5969969990138,7691,18445,"COLERAINE","SOUTHERN GRAMPIANS","Turnbull"
"Asphalt",null,"Netball","Glenthompson Recreation Reserve",1,"3. Average","6 - 10 Years",3293,"SOUTHE11399","26 - 50 Years","Street","Male, Umpire/Officials",142.544520000323,-37.6413399988783,7692,18452,"GLENTHOMPSON","SOUTHERN GRAMPIANS","Brady"
